type,area_in_marla,bedroom,bath,location_city,price
House,11.570247933884298,4.0,5.0,Karachi,17500000.0
House,33.05785123966942,6.0,6.0,Karachi,250000000.0
Flat,4.760330578512397,3.0,3.0,Karachi,18500000.0
Flat,5.223140495867769,3.0,3.0,Karachi,18500000.0
House,16.52892561983471,5.0,5.0,Karachi,107000000.0
Flat,6.24793388429752,3.0,3.0,Karachi,12500000.0
House,16.52892561983471,6.0,6.0,Karachi,209500000.0
House,16.52892561983471,6.0,7.0,Karachi,210000000.0
House,16.52892561983471,6.0,6.0,Karachi,185000000.0
Flat,5.1570247933884295,3.0,3.0,Karachi,13000000.0
Flat,6.9421487603305785,2.0,3.0,Karachi,52000000.0
House,9.917355371900827,3.0,4.0,Karachi,35000000.0
Upper Portion,4.760330578512397,3.0,3.0,Karachi,16500000.0
Upper Portion,7.933884297520661,3.0,3.0,Karachi,30000000.0
House,3.9669421487603307,5.0,5.0,Karachi,50000000.0
Other,6.413223140495868,3.0,3.0,Karachi,25000000.0
Flat,8.991735537190083,3.0,4.0,Karachi,96000000.0
House,16.52892561983471,5.0,5.0,Karachi,102500000.0
House,7.933884297520661,8.0,6.0,Karachi,67000000.0
House,7.933884297520661,6.0,6.0,Karachi,60000000.0
Flat,3.8677685950413223,1.0,2.0,Karachi,40000000.0
House,16.52892561983471,5.0,5.0,Karachi,99000000.0
House,33.05785123966942,7.0,6.0,Karachi,270000000.0
House,11.570247933884298,5.0,6.0,Karachi,260000000.0
Upper Portion,7.933884297520661,3.0,3.0,Karachi,30000000.0
Flat,6.6115702479338845,3.0,3.0,Karachi,27500000.0
Flat,3.6363636363636362,2.0,2.0,Karachi,9000000.0
House,33.05785123966942,6.0,6.0,Karachi,350000000.0
House,4.132231404958677,3.0,3.0,Karachi,12500000.0
House,3.9669421487603307,2.0,3.0,Karachi,12500000.0
Flat,5.520661157024794,3.0,3.0,Karachi,21500000.0
House,3.3057851239669422,3.0,3.0,Karachi,42500000.0
Flat,6.413223140495868,3.0,4.0,Karachi,24000000.0
Flat,7.702479338842975,3.0,4.0,Karachi,76000000.0
House,8.52892561983471,3.0,3.0,Karachi,13899999.999999998
Flat,3.8677685950413223,2.0,2.0,Karachi,17000000.0
Flat,8.264462809917354,3.0,3.0,Karachi,38000000.0
Flat,5.884297520661157,2.0,3.0,Karachi,87000000.0
Flat,18.380165289256198,4.0,5.0,Karachi,220000000.0
Flat,6.512396694214876,3.0,3.0,Karachi,28100000.0
House,11.570247933884298,4.0,4.0,Karachi,18400000.0
House,16.52892561983471,5.0,5.0,Karachi,130000000.0
Flat,7.966942148760331,3.0,3.0,Karachi,37500000.0
Flat,15.768595041322314,4.0,5.0,Karachi,140000000.0
Flat,3.669421487603306,3.0,3.0,Karachi,9000000.0
Flat,6.24793388429752,3.0,3.0,Karachi,26500000.0
Flat,4.033057851239669,2.0,2.0,Karachi,9200000.0
House,4.132231404958677,3.0,3.0,Karachi,10000000.0
Flat,8.264462809917354,3.0,3.0,Karachi,38500000.0
Flat,22.876033057851238,5.0,5.0,Karachi,287900000.0
House,4.132231404958677,3.0,3.0,Karachi,12500000.0
House,8.991735537190083,6.0,7.0,Karachi,29000000.0
House,11.570247933884298,4.0,4.0,Karachi,17000000.0
House,16.52892561983471,5.0,6.0,Karachi,165000000.0
House,33.05785123966942,6.0,7.0,Karachi,300000000.0
Other,6.6115702479338845,4.0,4.0,Karachi,45000000.0
Upper Portion,3.3057851239669422,2.0,2.0,Karachi,20000000.0
House,11.570247933884298,4.0,4.0,Karachi,16500000.0
Flat,7.338842975206612,3.0,4.0,Karachi,96000000.0
House,16.52892561983471,5.0,5.0,Karachi,43500000.0
